City,id,Country,Lat,Lng,Date,Cloudiness,Humidity,Max Temp,Wind Speed
rikitea,4030556,PF,-23.120279,-134.969177,1607817600,100,80,75.54,12.44
hithadhoo,1282256,MV,-0.6,73.08332800000002,1607817600,41,77,82.22,17.11
bambous virieux,1106677,MU,-20.342779,57.7575,1607817600,55,78,75.38,16.62
lompoc,5367788,US,34.639149,-120.457939,1607817600,75,89,58.69,16.51
punta arenas,3874787,CL,-53.150002,-70.91667199999998,1607817600,65,63,48.74,15.57
hermanus,3366880,ZA,-34.418701,19.234461,1607817600,51,84,61.03,10.98
khatanga,2022572,RU,71.966667,102.5,1607817600,100,89,-16.53,8.34
bengkulu,1649150,ID,-3.80044,102.265541,1607817600,99,74,75.74,4.83
qingdao,1797929,CN,36.09861,120.371941,1607817600,91,71,37.18,25.32
maumere,1635815,ID,-8.6199,122.211098,1607817600,100,86,77.25,3.78
bandarbeyla,64814,SO,9.4942,50.812199,1607817600,92,61,73.4,16.35
varenikovskaya,477039,RU,45.12085,37.641708,1607817600,100,64,47.79,13.02
tezu,1254709,IN,27.91667,96.166672,1607817600,47,47,63.18,2.15
ushuaia,3833367,AR,-54.799999,-68.300003,1607817600,90,60,44.69,2.15
tasiilaq,3424607,GL,65.61451,-37.636761,1607817600,100,89,33.71,25.86
kota kinabalu,1733432,MY,5.9749,116.072403,1607817600,46,84,80.71,3.27
faanui,4034551,PF,-16.48333,-151.75,1607817600,100,75,79.74,10.87
karatau,1519938,KZ,43.166672,70.466667,1607817600,100,94,16.97,3.2
codo,1965697,ID,-8.1286,112.722198,1607817600,100,85,73.13,1.41
katsuura,2112309,JP,35.133331,140.300003,1607817600,53,74,57.9,9.73
casper,5820705,US,42.866631,-106.31308,1607817600,95,84,22.62,3.71
pampa,5527953,US,35.53615999999999,-100.959869,1607817600,39,61,41.52,10.27
tiksi,2015306,RU,71.687218,128.86944599999998,1607817600,35,82,-33.83,4.7
nambour,2155862,AU,-26.633329,152.949997,1607817600,94,95,66.4,14.05
dikson,1507390,RU,73.506943,80.546387,1607817600,100,91,-6.68,10.6
avarua,4035715,CK,-21.207781,-159.774994,1607817600,2,76,82.13,8.93
merrill,5262680,US,45.180519,-89.683456,1607817600,69,81,27.09,9.84
cherskiy,2126199,RU,68.75,161.300003,1607817600,100,89,-10.86,3.58
miri,1738050,MY,4.4148,114.008904,1607817600,63,93,79.11,4.99
tokur,2015217,RU,53.13333100000001,132.899994,1607817600,90,87,-21.26,1.72
pangnirtung,6096551,CA,66.145111,-65.712517,1607817600,95,76,-9.4,5.73
marawi,1701054,PH,7.99861,124.292778,1607817600,93,83,75.47,1.16
port blair,1259385,IN,11.66667,92.75,1607817600,99,71,76.84,5.14
bluff,2206939,NZ,-46.599998,168.333328,1607817600,90,71,51.93,18.25
hasaki,2112802,JP,35.73333,140.833328,1607817600,55,81,55.98,7.7
naze,1855540,JP,28.366671000000004,129.483337,1607817600,71,64,64.8,9.6
cody,5821593,US,44.52634000000001,-109.056534,1607817600,94,89,21.9,4.41
kovernino,543494,RU,57.125278,43.814167,1607817600,41,96,12.72,5.12
yellowknife,6185377,CA,62.456001,-114.352547,1607817600,26,82,-15.03,10.65
mwinilunga,902620,ZM,-11.73584,24.42926,1607817600,100,96,62.56,6.93
ulladulla,2145554,AU,-35.349998,150.466675,1607817600,70,79,70.57,9.19
maniitsoq,3421982,GL,65.41667199999999,-52.900002,1607817600,100,86,24.1,7.27
chaozhou,1815395,CN,23.665131,116.637863,1607817600,86,79,64.56,2.19
hilo,5855927,US,19.729719,-155.089996,1607817600,51,65,77.11,5.93
rawson,3839307,AR,-43.300159,-65.10228000000001,1607817600,52,43,60.71,13.02
erenhot,2037485,CN,43.647499,111.976669,1607817600,0,86,-6.68,9.04
