City,id,Country,Lat,Lng
rikitea,4030556,PF,-23.120279,-134.969177
hithadhoo,1282256,MV,-0.6,73.08332800000001
bambous virieux,1106677,MU,-20.342779,57.7575
lompoc,5367788,US,34.639148999999996,-120.457939
punta arenas,3874787,CL,-53.150002,-70.91667199999999
hermanus,3366880,ZA,-34.418701,19.234461
khatanga,2022572,RU,71.966667,102.5
bengkulu,1649150,ID,-3.80044,102.265541
qingdao,1797929,CN,36.09861,120.37194099999999
maumere,1635815,ID,-8.6199,122.21109799999999
bandarbeyla,64814,SO,9.4942,50.812199
varenikovskaya,477039,RU,45.12085,37.641708
tezu,1254709,IN,27.91667,96.16667199999999
ushuaia,3833367,AR,-54.799999,-68.300003
tasiilaq,3424607,GL,65.61451,-37.636761
kota kinabalu,1733432,MY,5.9749,116.07240300000001
faanui,4034551,PF,-16.48333,-151.75
karatau,1519938,KZ,43.166672,70.466667
codo,1965697,ID,-8.1286,112.72219799999999
katsuura,2112309,JP,35.133331,140.300003
casper,5820705,US,42.866631,-106.31308
pampa,5527953,US,35.536159999999995,-100.959869
tiksi,2015306,RU,71.687218,128.86944599999998
nambour,2155862,AU,-26.633328999999996,152.949997
dikson,1507390,RU,73.506943,80.546387
avarua,4035715,CK,-21.207781,-159.774994
merrill,5262680,US,45.180519,-89.683456
cherskiy,2126199,RU,68.75,161.300003
miri,1738050,MY,4.4148,114.008904
tokur,2015217,RU,53.133331000000005,132.899994
pangnirtung,6096551,CA,66.145111,-65.712517
marawi,1701054,PH,7.99861,124.292778
port blair,1259385,IN,11.66667,92.75
bluff,2206939,NZ,-46.599998,168.333328
hasaki,2112802,JP,35.73333,140.833328
naze,1855540,JP,28.366671000000004,129.483337
cody,5821593,US,44.526340000000005,-109.05653400000001
kovernino,543494,RU,57.125278,43.814167
yellowknife,6185377,CA,62.456001,-114.352547
mwinilunga,902620,ZM,-11.73584,24.42926
ulladulla,2145554,AU,-35.349998,150.466675
maniitsoq,3421982,GL,65.41667199999999,-52.900002
chaozhou,1815395,CN,23.665131,116.637863
hilo,5855927,US,19.729719,-155.08999599999999
rawson,3839307,AR,-43.300159,-65.10228000000001
erenhot,2037485,CN,43.647498999999996,111.976669
pyaozerskiy,503581,RU,65.833336,31.166667999999998
saskylakh,2017155,RU,71.91667199999999,114.08332800000001
anadyr,2127202,RU,64.75,177.483337
medvedka,528010,RU,61.162941000000004,46.387001
vaini,4032243,TO,-21.200001,-175.199997
mahina,4034307,PF,-17.506479000000002,-149.48898300000002
peterhead,2640351,GB,57.50584,-1.7980599999999998
mpongwe,905789,ZM,-13.509139999999999,28.155040999999997
isangel,2136825,VU,-19.549999,169.266663
kuah,1222396,MY,6.32649,99.84320100000001
kodiak,5866583,US,57.790001000000004,-152.407227
new norfolk,2155415,AU,-42.782612,147.058701
havre-saint-pierre,5972291,CA,50.23344,-63.598620999999994
cape town,3369157,ZA,-33.925838,18.42322
iqaluit,5983720,CA,63.750591,-68.514488
saldanha,3361934,ZA,-33.011669,17.944201
kahului,5847411,US,20.89472,-156.470001
sambava,1056899,MG,-14.266670000000001,50.166672
nishihara,1855342,JP,26.18417,127.755829
iberia,3938531,PE,-11.35,-69.58332800000001
upernavik,3418910,GL,72.78684200000001,-56.15485
natchitoches,4334720,US,31.760719,-93.08627299999999
inhambane,1045114,MZ,-23.865,35.383331
lang son,1576633,VN,21.83333,106.73333000000001
sisimiut,3419842,GL,66.939461,-53.6735
arraial do cabo,3471451,BR,-22.96611,-42.027778999999995
atuona,4020109,PF,-9.8,-139.033325
clyde river,5924351,CA,70.469162,-68.591431
provideniya,4031574,RU,64.38333100000001,-173.300003
morococha,3934586,PE,-11.59972,-76.141113
qaanaaq,3831208,GL,77.483971,-69.363213
sitka,5557293,US,57.053059,-135.330002
tuktoyaktuk,6170031,CA,69.45414,-133.03741499999998
mar del plata,3430863,AR,-38.002280999999996,-57.557541
chernyshevskiy,2025456,RU,63.012779,112.47138999999999
manaure,3675504,CO,11.77505,-72.444473
sengiley,497094,RU,53.962219,48.794441
elizabeth city,4465088,US,36.294601,-76.251053
bathsheba,3374083,BB,13.21667,-59.51667
yulara,6355222,AU,-25.240601,130.988907
pauini,3662927,BR,-7.713610000000001,-66.976387
port alfred,964432,ZA,-33.590569,26.891040999999998
norman wells,6089245,CA,65.282013,-126.832901
denpasar,1645528,ID,-8.65,115.21666699999999
andenes,3163146,NO,69.314278,16.11939
arandis,3358670,,-22.41667,14.96667
chara,2025630,RU,56.906391000000006,118.263062
puerto ayora,3652764,EC,-0.73931,-90.351761
shimoda,1852357,JP,34.666672,138.949997
state college,5213681,US,40.7934,-77.860001
savannah bight,3601402,HN,16.450001,-85.849998
verkhoyansk,2013465,RU,67.544724,133.384995
vestmanna,2610343,FO,62.156391000000006,-7.16639
zhigansk,2012530,RU,66.769722,123.371109
porirua,2184397,NZ,-41.133331,174.850006
lorengau,2092164,PG,-2.02259,147.271194
carnot,2387495,CF,4.9409,15.86645
wattegama,1224061,LK,6.7989,81.480797
kavaratti,1267390,IN,10.566880000000001,72.64202900000001
nadym,1498087,RU,65.533333,72.51666999999999
pisco,3932145,PE,-13.7,-76.216667
bredasdorp,1015776,ZA,-34.53215,20.04031
